author	publication_year	title	subject_topic
Cleve, Friedrich August (1743-1796)	1796	Lese-Bibliothek eröfnet den 6:ten December 1783. von Friedrich August Cleve. ... Mit Genehmigung des königl. [12:] königl: Canzley-Collegii. =Stockholm. 1-37. 1793-1802=	NA
Cleve, Friedrich August (1743-1796)	1796	Lese-Bibliothek eröfnet den 6:ten December 1783. von Friedrich August Cleve. ... Mit Genehmigung des königl. [12:] königl: Canzley-Collegii. =Stockholm. 1-37. 1793-1802=	NA
Cleve, Friedrich August (1743-1796)	1796	Lese-Bibliothek eröfnet den 6:ten December 1783. von Friedrich August Cleve. ... Mit Genehmigung des königl. [12:] königl: Canzley-Collegii. =Stockholm. 1-37. 1793-1802=	NA
Cleve, Friedrich August (1743-1796)	1797	Lese-Bibliothek eröfnet den 6:ten December 1783. von Friedrich August Cleve. ... Mit Genehmigung des königl. [12:] königl: Canzley-Collegii. =Stockholm. 1-37. 1793-1802=	NA
Cleve, Friedrich August (1743-1796)	1798	Lese-Bibliothek eröfnet den 6:ten December 1783. von Friedrich August Cleve. ... Mit Genehmigung des königl. [12:] königl: Canzley-Collegii. =Stockholm. 1-37. 1793-1802=	NA
Cleve, Friedrich August (1743-1796)	1798	Lese-Bibliothek eröfnet den 6:ten December 1783. von Friedrich August Cleve. ... Mit Genehmigung des königl. [12:] königl: Canzley-Collegii. =Stockholm. 1-37. 1793-1802=	NA
Cleve, Friedrich August (1743-1796)	1799	Lese-Bibliothek eröfnet den 6:ten December 1783. von Friedrich August Cleve. ... Mit Genehmigung des königl. [12:] königl: Canzley-Collegii. =Stockholm. 1-37. 1793-1802=	NA
Cleve, Friedrich August (1743-1796)	1801	Lese-Bibliothek eröfnet den 6:ten December 1783. von Friedrich August Cleve. ... Mit Genehmigung des königl. [12:] königl: Canzley-Collegii. =Stockholm. 1-37. 1793-1802=	NA
Cleve, Friedrich August (1743-1796)	1802	Lese-Bibliothek eröfnet den 6:ten December 1783. von Friedrich August Cleve. ... Mit Genehmigung des königl. [12:] königl: Canzley-Collegii. =Stockholm. 1-37. 1793-1802=	NA
Cleve, Friedrich August (1743-1796)	1797	Lese-Bibliothek eröfnet den 6:ten December 1783. Von Friedrich August Cleve. Mit Genehmigung des königl. Canzley-Collegii. Stockholm, gedruckt bey Delén und Forsgren, 1802	NA
Cleve, Friedrich August (1743-1796)	1801	Lese-Bibliothek eröfnet den 6:ten December 1783. Von Friedrich August Cleve. Mit Genehmigung des königl. Canzley-Collegii. Stockholm, gedruckt bey Delén und Forsgren, 1802	NA
Cleve, Friedrich August (1743-1796)	1797	Lese-Bibliothek eröfnet den 6:ten December 1783. Von Friedrich August Cleve. Mit Genehmigung des königl. Canzley-Collegii. Stockholm, gedruckt bey Delén und Forsgren, 1802	NA
Cleve, Friedrich August (1743-1796)	1800	Lese-Bibliothek eröfnet den 6:ten December 1783. Von Friedrich August Cleve. Mit Genehmigung des königl. Canzley-Collegii. Stockholm, gedruckt bey Delén und Forsgren, 1802	NA
Wiborg, Anders (1776-1836)	1825	Förteckning på swenska böcker, som utlånas i A. Wiborgs lån-bibliothek. =Stockholm. 1-5. 1825-1829.= 8:o, =2:=	NA
Wiborg, Anders (1776-1836)	1825	Förteckning på swenska böcker, som utlånas i A. Wiborgs lån-bibliothek. =Stockholm. 1-5. 1825-1829.= 8:o, =2:=	NA
Wiborg, Anders (1776-1836)	1827	Förteckning på swenska böcker, som utlånas i A. Wiborgs lån-bibliothek. =Stockholm. 1-5. 1825-1829.= 8:o, =2:=	NA
Wiborg, Anders (1776-1836)	1828	Förteckning på swenska böcker, som utlånas i A. Wiborgs lån-bibliothek. =Stockholm. 1-5. 1825-1829.= 8:o, =2:=	NA
Wiborg, Anders (1776-1836)	1829	Förteckning på swenska böcker, som utlånas i A. Wiborgs lån-bibliothek. =Stockholm. 1-5. 1825-1829.= 8:o, =2:=	NA
Wiborg, Anders (1776-1836)	1825	Förteckning på utländska böcker, som utlånas i A. Wiborgs lån-bibliothek. =Stockholm. 1-8. 1825-1829.=	NA
Wiborg, Anders (1776-1836)	1825	Förteckning på utländska böcker, som utlånas i A. Wiborgs lån-bibliothek. =Stockholm. 1-8. 1825-1829.=	NA
Wiborg, Anders (1776-1836)	1825	Förteckning på utländska böcker, som utlånas i A. Wiborgs lån-bibliothek. =Stockholm. 1-8. 1825-1829.=	NA
Wiborg, Anders (1776-1836)	1825	Förteckning på utländska böcker, som utlånas i A. Wiborgs lån-bibliothek. =Stockholm. 1-8. 1825-1829.=	NA
Wiborg, Anders (1776-1836)	1826	Förteckning på utländska böcker, som utlånas i A. Wiborgs lån-bibliothek. =Stockholm. 1-8. 1825-1829.=	NA
Wiborg, Anders (1776-1836)	1827	Förteckning på utländska böcker, som utlånas i A. Wiborgs lån-bibliothek. =Stockholm. 1-8. 1825-1829.=	NA
Wiborg, Anders (1776-1836)	1828	Förteckning på utländska böcker, som utlånas i A. Wiborgs lån-bibliothek. =Stockholm. 1-8. 1825-1829.=	NA
Wiborg, Anders (1776-1836)	1829	Förteckning på utländska böcker, som utlånas i A. Wiborgs lån-bibliothek. =Stockholm. 1-8. 1825-1829.=	NA
Unander, Eva (1774-1836)	1818	Tillökningen. =(Rubr.) Anon. 1-3. Stockholm, Carl Nyberg, 1818-19.=	NA
Unander, Eva (1774-1836)	1819	Tillökningen. =(Rubr.) Anon. 1-3. Stockholm, Carl Nyberg, 1818-19.=	NA
Unander, Eva (1774-1836)	1819	Tillökningen. =(Rubr.) Anon. 1-3. Stockholm, Carl Nyberg, 1818-19.=	NA
Ronander, Carl Wilhelm Henrik (1794-1847)	1825	System i pharmakologien, med särskildt afseende på svenska pharmakopéens sista edition, af C.W.H. Ronander. ... Stockholm, tryckt hos P.A. Norstedt & söner. =1-2. 1825-28=	NA
Ronander, Carl Wilhelm Henrik (1794-1847)	1828	System i pharmakologien, med särskildt afseende på svenska pharmakopéens sista edition, af C.W.H. Ronander. ... Stockholm, tryckt hos P.A. Norstedt & söner. =1-2. 1825-28=	NA
